stat_id,city_id,stat_date,avg_pm_cn1,avg_pm_cn2,avg_pm_cn3,avg_pm_us,avg_pm,max_pm,min_pm,aqi_level
1,2,2013-01-08,108.15,117.35,,121.8,112.75,121.8,108.15,3
2,2,2014-08-26,56.434782,62.708333,,44.625,59.571557,62.708333,44.625,2
3,4,2014-06-24,43.666666,22.125,,43.666666,32.895833,43.666666,22.125,1
4,2,2013-10-16,20.0,24.791666,,26.958333,22.395833,26.958333,20.0,1
5,2,2014-08-03,59.0,62.818181,,48.0,60.90909,62.818181,48.0,2
6,3,2014-12-11,47.130434,43.565217,,49.333333,45.347825,49.333333,43.565217,2
7,4,2012-10-27,35.666666,,,35.666666,35.666666,35.666666,35.666666,2
8,3,2014-03-03,53.217391,43.434782,,54.565217,48.326086,54.565217,43.434782,2
9,4,2012-10-04,68.956521,,,68.956521,68.956521,68.956521,68.956521,2
10,4,2015-04-11,30.291666,32.083333,,30.291666,31.187499,32.083333,30.291666,1
11,1,2014-05-28,25.666666,31.130434,30.818181,31.416666,29.205093,31.416666,25.666666,1
12,1,2015-02-28,146.818181,,135.782608,139.521739,141.300394,146.818181,135.782608,4
13,2,2013-12-21,61.826086,74.416666,,62.958333,68.121376,74.416666,61.826086,2
14,3,2014-03-26,170.791666,134.416666,,159.166666,152.604166,170.791666,134.416666,5
15,4,2013-10-19,82.333333,,,82.333333,82.333333,82.333333,82.333333,3
16,1,2014-04-18,126.791666,123.958333,127.666666,142.708333,126.138888,142.708333,123.958333,4
17,2,2013-03-13,49.391304,47.333333,,53.0,48.362318,53.0,47.333333,2
18,4,2013-01-11,100.869565,155.9375,,100.869565,128.403532,155.9375,100.869565,4
19,1,2015-11-13,198.5,189.0,217.416666,206.666666,201.638888,217.416666,189.0,5
20,4,2012-11-14,110.541666,,,110.541666,110.541666,110.541666,110.541666,3
21,4,2013-08-14,22.235294,,,22.235294,22.235294,22.235294,22.235294,1
22,4,2014-06-01,14.291666,23.652173,,14.291666,18.971919,23.652173,14.291666,1
23,1,2014-05-05,15.791666,28.0,128.153846,46.625,57.31517,128.153846,15.791666,2
24,1,2015-02-05,32.458333,26.5,27.875,27.833333,28.944444,32.458333,26.5,1
25,3,2015-12-03,53.956521,45.541666,,65.695652,49.749093,65.695652,45.541666,2
26,5,2015-10-01,22.166666,19.0,,15.666666,20.583333,22.166666,15.666666,1
27,3,2014-11-01,24.791666,21.541666,,26.291666,23.166666,26.291666,21.541666,1
28,1,2013-06-08,172.083333,166.041666,155.208333,174.791666,164.444444,174.791666,155.208333,5
29,2,2015-05-03,61.291666,56.375,,58.875,58.833333,61.291666,56.375,2
30,3,2015-09-11,22.666666,21.0,,28.208333,21.833333,28.208333,21.0,1
31,5,2013-02-04,55.5,61.47619,,,58.488095,61.47619,55.5,2
32,5,2015-01-16,87.375,72.125,,83.47826,79.75,87.375,72.125,3
33,4,2013-07-04,21.333333,,,21.333333,21.333333,21.333333,21.333333,1
34,4,2014-07-11,11.25,25.583333,,11.25,18.416666,25.583333,11.25,1
35,5,2014-01-24,139.166666,129.5,,112.791666,134.333333,139.166666,112.791666,4
36,2,2015-09-05,46.875,40.083333,,36.5,43.479166,46.875,36.5,2
37,3,2014-02-16,161.625,152.25,,139.0,156.9375,161.625,139.0,5
38,4,2015-07-03,23.791666,28.541666,,23.791666,26.166666,28.541666,23.791666,1
39,2,2014-02-10,22.363636,26.458333,,33.041666,24.410984,33.041666,22.363636,1
